Config,ID,Based Club ID,Based Club Name,FM ID,First Name,Second Name,Age,Current Ability,Potential Ability,Division ID,Division Name
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":298784,""r"":298784},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":138310,""r"":298784}]",298784,88423,Sheffield Wednesday,5112026,Paul,Jones,34,95,111,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88321,""r"":88321},{""a"":""Person"",""m"":""Person"",""k"":939107,""r"":939107},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":843920,""r"":939107}]",939107,88321,Barnsley,91172585,Kilian,Ludewig,20,94,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":591612,""r"":591612},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":450334,""r"":591612}]",591612,88332,Brentford,33070662,Jaakko,Oksanen,19,94,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88378,""r"":88378},{""a"":""Person"",""m"":""Person"",""k"":568466,""r"":568466},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424781,""r"":568466}]",568466,88378,Huddersfield Town,28115523,Matty,Daly,19,94,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88378,""r"":88378},{""a"":""Person"",""m"":""Person"",""k"":931536,""r"":931536},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":835732,""r"":931536}]",931536,88378,Huddersfield Town,89061573,Aaron,Rowe,19,94,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88414,""r"":88414},{""a"":""Person"",""m"":""Person"",""k"":577082,""r"":577082},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":433750,""r"":577082}]",577082,88414,Preston North End,29139703,Mathew,Hudson,22,94,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":580552,""r"":580552},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":437199,""r"":580552}]",580552,88332,Brentford,29193536,Joe,Adams,19,93,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88378,""r"":88378},{""a"":""Person"",""m"":""Person"",""k"":940938,""r"":940938},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":847477,""r"":940938}]",940938,88378,Huddersfield Town,92032199,Herbert,Bockhorn,25,93,111,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":603395,""r"":603395},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":466814,""r"":603395}]",603395,88385,Leeds United,37018394,Ouasim,Bouy,27,93,109,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88399,""r"":88399},{""a"":""Person"",""m"":""Person"",""k"":568286,""r"":568286},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424601,""r"":568286}]",568286,88399,Middlesbrough,28111345,Connor,Malley,20,93,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88414,""r"":88414},{""a"":""Person"",""m"":""Person"",""k"":575683,""r"":575683},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":432354,""r"":575683}]",575683,88414,Preston North End,29116085,Michael,Crowe,24,93,105,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88415,""r"":88415},{""a"":""Person"",""m"":""Person"",""k"":567707,""r"":567707},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424023,""r"":567707}]",567707,88415,Queens Park Rangers,28103237,Olamide,Shodipo,23,93,115,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88415,""r"":88415},{""a"":""Person"",""m"":""Person"",""k"":567940,""r"":567940},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424252,""r"":567940}]",567940,88415,Queens Park Rangers,28106882,Remi,Oteh,21,93,125,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88324,""r"":88324},{""a"":""Person"",""m"":""Person"",""k"":575576,""r"":575576},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":432247,""r"":575576}]",575576,88324,Birmingham City,29114894,Connal,Trueman,24,92,115,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":578742,""r"":578742},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":435395,""r"":578742}]",578742,88416,Reading,29163034,Ramarni,Medford-Smith,21,92,117,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":579443,""r"":579443},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":436094,""r"":579443}]",579443,88416,Reading,29175617,Jordan,Holsgrove,20,92,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":577947,""r"":577947},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434601,""r"":577947}]",577947,88327,Blackburn Rovers,29156094,Tyler,Magloire,21,91,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":560469,""r"":560469},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":415988,""r"":560469}]",560469,88332,Brentford,27129133,Japhet Sery,Larsen,20,91,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":576860,""r"":576860},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":433534,""r"":576860}]",576860,88332,Brentford,29134272,Reece,Cole,22,91,122,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":566930,""r"":566930},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":423246,""r"":566930}]",566930,88368,Fulham,28090965,Magnus,Norman,23,91,125,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":580275,""r"":580275},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":436923,""r"":580275}]",580275,88385,Leeds United,29191413,Liam,McCarron,19,91,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88415,""r"":88415},{""a"":""Person"",""m"":""Person"",""k"":567712,""r"":567712},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424028,""r"":567712}]",567712,88415,Queens Park Rangers,28103242,Osman,Kakay,22,91,108,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":576552,""r"":576552},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":433220,""r"":576552}]",576552,88416,Reading,29129408,Tennai,Watson,23,91,125,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":577100,""r"":577100},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":433768,""r"":577100}]",577100,88416,Reading,29139721,Gabriel,Osho,21,91,127,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":577101,""r"":577101},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":433769,""r"":577101}]",577101,88416,Reading,29139722,Ryan,East,21,91,123,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":575073,""r"":575073},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":431745,""r"":575073}]",575073,88423,Sheffield Wednesday,29108194,Jack,Stobbs,23,91,115,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88021,""r"":88021},{""a"":""Person"",""m"":""Person"",""k"":567536,""r"":567536},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":423852,""r"":567536}]",567536,88021,Swansea City,28100475,Liam,Cullen,21,90,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":577945,""r"":577945},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434599,""r"":577945}]",577945,88327,Blackburn Rovers,29156092,Joe,Grayson,21,90,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":561452,""r"":561452},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":416966,""r"":561452}]",561452,88332,Brentford,27139577,Gustav,Mogensen,19,90,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88340,""r"":88340},{""a"":""Person"",""m"":""Person"",""k"":579367,""r"":579367},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":435979,""r"":579367}]",579367,88340,Cardiff City,29175235,Dion,Sanderson,20,90,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88360,""r"":88360},{""a"":""Person"",""m"":""Person"",""k"":567886,""r"":567886},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424198,""r"":567886}]",567886,88360,Derby County,28106488,Jahmal,Hector-Ingram,21,90,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":568935,""r"":568935},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":425248,""r"":568935}]",568935,88368,Fulham,28122195,Fábio,Carvalho,17,90,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88400,""r"":88400},{""a"":""Person"",""m"":""Person"",""k"":578013,""r"":578013},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434667,""r"":578013}]",578013,88400,Millwall,29156525,James,Brown,22,90,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":931409,""r"":931409},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":835606,""r"":931409}]",931409,88327,Blackburn Rovers,89059284,Tom,White,23,89,121,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":1001844,""r"":1001844},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":439316,""r"":1001844}]",1001844,88385,Leeds United,29233761,Nohan,Kenneh,17,89,-85,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":580705,""r"":580705},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":437350,""r"":580705}]",580705,88416,Reading,29194201,Thierry,Nevers,18,89,-75,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":576923,""r"":576923},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":433597,""r"":576923}]",576923,88423,Sheffield Wednesday,29137251,Fraser,Preston,21,89,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":577892,""r"":577892},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434556,""r"":577892}]",577892,88423,Sheffield Wednesday,29153890,Jack,Lee,21,89,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":568830,""r"":568830},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":425143,""r"":568830}]",568830,88368,Fulham,28121419,Tyrese,Francois,20,88,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88415,""r"":88415},{""a"":""Person"",""m"":""Person"",""k"":559098,""r"":559098},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":414629,""r"":559098}]",559098,88415,Queens Park Rangers,27110727,Marco,Ramkilde,22,88,135,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":579341,""r"":579341},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":435953,""r"":579341}]",579341,88423,Sheffield Wednesday,29174938,Isaac,Rice,19,88,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88334,""r"":88334},{""a"":""Person"",""m"":""Person"",""k"":578193,""r"":578193},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434856,""r"":578193}]",578193,88334,Bristol City,29158245,James,Morton,21,87,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88343,""r"":88343},{""a"":""Person"",""m"":""Person"",""k"":578866,""r"":578866},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":435519,""r"":578866}]",578866,88343,Charlton Athletic,29164970,Brendan,Sarpong-Wiredu,20,87,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88406,""r"":88406},{""a"":""Person"",""m"":""Person"",""k"":577932,""r"":577932},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434586,""r"":577932}]",577932,88406,Nottingham Forest,29155393,Virgil,Gomis,21,87,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":579336,""r"":579336},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":435948,""r"":579336}]",579336,88423,Sheffield Wednesday,29174933,Alex,Hunt,20,87,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88018,""r"":88018},{""a"":""Person"",""m"":""Person"",""k"":559839,""r"":559839},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":415362,""r"":559839}]",559839,88018,Stoke City,27119378,Lasse,Sørensen,20,86,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88378,""r"":88378},{""a"":""Person"",""m"":""Person"",""k"":576886,""r"":576886},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":433560,""r"":576886}]",576886,88378,Huddersfield Town,29135531,Rekeil,Pyke,22,86,125,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88391,""r"":88391},{""a"":""Person"",""m"":""Person"",""k"":578260,""r"":578260},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434921,""r"":578260}]",578260,88391,Luton Town,29158526,Peter,Kioso,20,86,-55,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88399,""r"":88399},{""a"":""Person"",""m"":""Person"",""k"":575030,""r"":575030},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":431712,""r"":575030}]",575030,88399,Middlesbrough,29107899,Joe,Fryer,24,86,125,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":578739,""r"":578739},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":435392,""r"":578739}]",578739,88416,Reading,29163031,Tyler,Frost,21,86,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88416,""r"":88416},{""a"":""Person"",""m"":""Person"",""k"":1001865,""r"":1001865},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":439337,""r"":1001865}]",1001865,88416,Reading,29233994,Coniah,Boyce-Clarke,17,86,-8,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":420164,""r"":420164},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":261553,""r"":420164}]",420164,88423,Sheffield Wednesday,14137412,Manuel,Hidalgo,21,86,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88021,""r"":88021},{""a"":""Person"",""m"":""Person"",""k"":568039,""r"":568039},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424355,""r"":568039}]",568039,88021,Swansea City,28109144,Oliver,Cooper,20,85,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88324,""r"":88324},{""a"":""Person"",""m"":""Person"",""k"":843552,""r"":843552},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":732259,""r"":843552}]",843552,88324,Birmingham City,67258570,Moha,Ramos,20,85,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":741767,""r"":741767},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":621712,""r"":741767}]",741767,88327,Blackburn Rovers,52071535,Brad,Lyons,23,85,122,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":953136,""r"":953136},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":858819,""r"":953136}]",953136,88332,Brentford,93099935,Fredrik,Hammar,19,85,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88334,""r"":88334},{""a"":""Person"",""m"":""Person"",""k"":581209,""r"":581209},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":437850,""r"":581209}]",581209,88334,Bristol City,29216305,Saikou,Janneh,20,85,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88340,""r"":88340},{""a"":""Person"",""m"":""Person"",""k"":742545,""r"":742545},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":622490,""r"":742545}]",742545,88340,Cardiff City,52082251,Aaron,Bolger,20,85,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":568930,""r"":568930},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":425243,""r"":568930}]",568930,88368,Fulham,28122190,Cody,Drameh,18,85,-8,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":579746,""r"":579746},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":436395,""r"":579746}]",579746,88368,Fulham,29178510,Nicolas,Santos-Clase,20,85,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88368,""r"":88368},{""a"":""Person"",""m"":""Person"",""k"":1001649,""r"":1001649},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":439121,""r"":1001649}]",1001649,88368,Fulham,29228687,Jay,Stansfield,17,85,-75,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88378,""r"":88378},{""a"":""Person"",""m"":""Person"",""k"":568300,""r"":568300},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424615,""r"":568300}]",568300,88378,Huddersfield Town,28111389,Kieran,Phillips,20,85,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88406,""r"":88406},{""a"":""Person"",""m"":""Person"",""k"":598760,""r"":598760},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":461252,""r"":598760}]",598760,88406,Nottingham Forest,36112659,Marios,Siabanis,20,85,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88415,""r"":88415},{""a"":""Person"",""m"":""Person"",""k"":575215,""r"":575215},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":431887,""r"":575215}]",575215,88415,Queens Park Rangers,29110227,Dillon,Barnes,24,85,125,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":484008,""r"":484008},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":335997,""r"":484008}]",484008,88423,Sheffield Wednesday,22067634,Preslav,Borukov,20,85,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88430,""r"":88430},{""a"":""Person"",""m"":""Person"",""k"":567904,""r"":567904},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424216,""r"":567904}]",567904,88430,West Bromwich Albion,28106533,Jamie,Soule,19,85,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88433,""r"":88433},{""a"":""Person"",""m"":""Person"",""k"":581051,""r"":581051},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":437693,""r"":581051}]",581051,88433,Wigan Athletic,29199549,Jensen,Weir,18,85,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":239979,""r"":239979},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":79573,""r"":239979}]",239979,88385,Leeds United,837317,Simone,Farina,38,84,88,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":579223,""r"":579223},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":435881,""r"":579223}]",579223,88385,Leeds United,29174735,Bobby,Kamwa,20,84,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88406,""r"":88406},{""a"":""Person"",""m"":""Person"",""k"":577928,""r"":577928},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434582,""r"":577928}]",577928,88406,Nottingham Forest,29155389,Toby,Edser,21,84,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88406,""r"":88406},{""a"":""Person"",""m"":""Person"",""k"":580149,""r"":580149},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":436797,""r"":580149}]",580149,88406,Nottingham Forest,29189393,George,Shelvey,19,84,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88415,""r"":88415},{""a"":""Person"",""m"":""Person"",""k"":567576,""r"":567576},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":423892,""r"":567576}]",567576,88415,Queens Park Rangers,28100772,Charlie,Owens,22,84,98,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":579942,""r"":579942},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":436590,""r"":579942}]",579942,88423,Sheffield Wednesday,29181999,Liam,Shaw,19,84,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88423,""r"":88423},{""a"":""Person"",""m"":""Person"",""k"":580468,""r"":580468},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":437115,""r"":580468}]",580468,88423,Sheffield Wednesday,29192174,Conor,Grant,19,84,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88321,""r"":88321},{""a"":""Person"",""m"":""Person"",""k"":800931,""r"":800931},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":686268,""r"":800931}]",800931,88321,Barnsley,61084567,Ethan,Erhahon,19,83,125,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88327,""r"":88327},{""a"":""Person"",""m"":""Person"",""k"":577949,""r"":577949},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":434603,""r"":577949}]",577949,88327,Blackburn Rovers,29156096,Stefan,Mols,21,83,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":568605,""r"":568605},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":424920,""r"":568605}]",568605,88332,Brentford,28116487,Paris,Maghoma,19,83,-7,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88332,""r"":88332},{""a"":""Person"",""m"":""Person"",""k"":580529,""r"":580529},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":437176,""r"":580529}]",580529,88332,Brentford,29192990,Aaron,Pressley,18,83,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88385,""r"":88385},{""a"":""Person"",""m"":""Person"",""k"":580048,""r"":580048},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":436696,""r"":580048}]",580048,88385,Leeds United,29186420,Niall,Huggins,19,83,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88400,""r"":88400},{""a"":""Person"",""m"":""Person"",""k"":578737,""r"":578737},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":435390,""r"":578737}]",578737,88400,Millwall,29163017,Danny,McNamara,21,83,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88400,""r"":88400},{""a"":""Person"",""m"":""Person"",""k"":580683,""r"":580683},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":437328,""r"":580683}]",580683,88400,Millwall,29194057,Billy,Mitchell,19,83,-6,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88430,""r"":88430},{""a"":""Person"",""m"":""Person"",""k"":580554,""r"":580554},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":437201,""r"":580554}]",580554,88430,West Bromwich Albion,29193538,Saul,Shotton,19,83,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88433,""r"":88433},{""a"":""Person"",""m"":""Person"",""k"":769469,""r"":769469},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":651429,""r"":769469}]",769469,88433,Wigan Athletic,57154415,Alex,Dobre,21,83,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88018,""r"":88018},{""a"":""Person"",""m"":""Person"",""k"":453338,""r"":453338},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":301813,""r"":453338}]",453338,88018,Stoke City,18110741,Blondy,Noukeu,18,82,-65,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88021,""r"":88021},{""a"":""Person"",""m"":""Person"",""k"":567537,""r"":567537},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":423853,""r"":567537}]",567537,88021,Swansea City,28100476,Keiran,Evans,21,82,-55,153406,Sky Bet Championship
"[{""a"":""Club"",""m"":""Club"",""k"":88021,""r"":88021},{""a"":""Person"",""m"":""Person"",""k"":843556,""r"":843556},{""a"":""PlayerAttribute"",""m"":""PlayerAttribute"",""k"":732263,""r"":843556}]",843556,88021,Swansea City,67258574,Jordi,Govea,21,82,-65,153406,Sky Bet Championship
